,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
1087,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
1088,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
1089,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
1094,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
1112,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
1117,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
1125,Maruti,Suzuki,Second,75000,CNG,2013,Grey,5,32.52,3.25,2.91
1136,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
1137,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
1138,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
1143,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
1149,Maruti,Suzuki,First,65000,CNG,2013,Brown,5,58,3.25,3.6
1163,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
1164,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
1165,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
1174,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
1197,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
1198,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
1199,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
1202,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
1225,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
1230,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
1231,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
1233,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
1254,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
1258,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
1259,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
1261,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
1283,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
1284,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
1285,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
1291,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
1313,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
1316,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
1317,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
1320,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
1327,Maruti,Suzuki,First,65000,CNG,2013,Brown,5,58,3.25,3.6
1338,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
1345,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
1364,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
1365,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
1366,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
1374,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
