,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
353,Audi,Q5,First,72901,Diesel,2018,White,5,23.65,5.59,6.41
354,Jaguar,XJ,Second,20500,Diesel,2017,Maroon,5,12.9,48.25,58.99
355,Mahindra,XUV500,First,48547,Diesel,2015,Red,7,15.1,8.5,7.8
356,Audi,A4,First,86000,Diesel,2017,White,5,12.585,25,27.65
357,Honda,Amaze,First,49000,Diesel,2017,Red,5,25.8,5.95,6.03
363,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
374,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
378,Ford,Endeavour,First,78000,Diesel,2016,White,7,10.91,26,22.01
380,Ford,Figo,First,64983,Diesel,2013,Red,5,20,2.99,2.76
386,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
394,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
403,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
405,Maruti,Suzuki,First,91114,Diesel,2014,Others,5,23.4,5.52,4.73
406,Mercedes-Benz,GLE,First,54000,Diesel,2017,White,5,12.585,42.75,47.73
408,Jaguar,XJ,Second,20500,Diesel,2017,Maroon,5,12.9,48.25,58.99
409,Mercedes-Benz,GLE,First,54000,Diesel,2017,White,5,12.585,42.75,47.73
415,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
423,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
433,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
435,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
437,Mercedes-Benz,M-Class,First,59000,Diesel,2014,White,5,12.585,24.5,25.59
438,Ford,Endeavour,First,78000,Diesel,2016,White,7,10.91,26,22.01
440,Jeep,Meridian,First,10000,Diesel,2022,Maroon,7,168,32.75,37.09
441,BMW,5,First,8519,Diesel,2020,Blue,5,22.48,55,56.96
445,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
453,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
462,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
463,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
467,Renault,Duster,First,48000,Diesel,2015,Brown,5,19.01,5.6,6.56
468,Ford,Endeavour,First,57000,Diesel,2018,White,7,12.62,28.99,26.51
475,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
