,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
117,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
118,Honda,City,Second,60621,Petrol,2016,Silver,5,18.7,7.07,7.31
119,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
120,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
123,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
124,Maruti,Suzuki,Second,53092,Petrol,2017,Silver,5,19.12,6.32,7.8
125,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
126,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
130,Hyundai,i20,First,13616,Petrol,2014,Others,5,18.15,4.97,4.57
137,Maruti,Suzuki,First,49000,Petrol,2016,Red,5,21.4,5.45,5.76
140,Maruti,Suzuki,First,11736,Petrol,2018,Blue,5,22,6.35,6.52
141,Honda,Jazz,First,17847,Petrol,2019,White,5,18.7,6.8,7.75
142,Maruti,Suzuki,First,10519,Petrol,2021,Brown,5,20.52,6.8,7.75
144,Mercedes-Benz,E-Class,Second,29675,Petrol,2011,White,5,12.06,11.25,13.78
145,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
146,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
147,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
148,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
149,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
150,Honda,City,Second,60621,Petrol,2016,Silver,5,18.7,7.07,7.31
152,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
154,Maruti,Suzuki,Second,53092,Petrol,2017,Silver,5,19.12,6.32,7.8
157,Maruti,Suzuki,First,47072,Petrol,2017,Black,5,20.5,4.76,4.37
158,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
161,Maruti,Suzuki,First,11736,Petrol,2018,Blue,5,22,6.35,6.52
162,Honda,Civic,First,29000,Petrol,2019,Silver,5,16.5,16.9,17.02
164,Maruti,Suzuki,First,27585,Petrol,2017,Blue,5,23.1,4.95,4.51
166,Honda,City,First,60381,Petrol,2015,Grey,5,18.7,6.5,6.78
167,Mercedes-Benz,SLK-Class,Second,52000,Petrol,2010,White,2,7.6,23,21.43
169,Honda,Jazz,First,17847,Petrol,2019,White,5,18.7,6.8,7.75
171,Mercedes-Benz,E-Class,Second,29675,Petrol,2011,White,5,12.06,11.25,13.78
172,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
173,Honda,City,Second,60621,Petrol,2016,Silver,5,18.7,7.07,7.31
174,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
175,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
176,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
177,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
180,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
181,Maruti,Suzuki,Second,53092,Petrol,2017,Silver,5,19.12,6.32,7.8
182,Maruti,Suzuki,First,47072,Petrol,2017,Black,5,20.5,4.76,4.37
183,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
188,Volkswagen,Ameo,Second,64500,Petrol,2016,Others,5,17.83,4.1,4.87
190,Hyundai,Elite,First,59235,Petrol,2015,Blue,5,18.6,4.99,5.35
191,Skoda,Superb,First,44000,Petrol,2017,White,5,14.81,17.5,21.12
193,Hyundai,Grand,First,23000,Petrol,2017,White,5,19.77,4.4,4.63
196,Maruti,Suzuki,First,11736,Petrol,2018,Blue,5,22,6.35,6.52
197,Honda,Jazz,First,17847,Petrol,2019,White,5,18.7,6.8,7.75
198,Maruti,Suzuki,First,10519,Petrol,2021,Brown,5,20.52,6.8,7.75
200,Mercedes-Benz,E-Class,Second,29675,Petrol,2011,White,5,12.06,11.25,13.78
201,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
202,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
203,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
204,Honda,City,Second,60621,Petrol,2016,Silver,5,18.7,7.07,7.31
206,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
207,Maruti,Suzuki,Second,53092,Petrol,2017,Silver,5,19.12,6.32,7.8
210,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
213,Hyundai,i20,First,13616,Petrol,2014,Others,5,18.15,4.97,4.57
215,Maruti,Suzuki,First,41000,Petrol,2017,Blue,5,21.4,5.91,6.89
216,Hyundai,Elite,First,20285,Petrol,2017,Red,5,18.6,5.91,6.01
219,Maruti,Suzuki,First,49000,Petrol,2016,Red,5,21.4,5.45,5.76
221,Mercedes-Benz,C-Class,Second,61475,Petrol,2015,Black,5,14.74,22.75,21.06
222,Honda,City,Second,63000,Petrol,2014,White,5,18.7,4.75,5.36
223,Maruti,Suzuki,First,11736,Petrol,2018,Blue,5,22,6.35,6.52
224,Honda,Jazz,First,17847,Petrol,2019,White,5,18.7,6.8,7.75
225,Maruti,Suzuki,First,10519,Petrol,2021,Brown,5,20.52,6.8,7.75
227,Mercedes-Benz,E-Class,Second,29675,Petrol,2011,White,5,12.06,11.25,13.78
228,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
229,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
232,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
233,Maruti,Suzuki,Second,53092,Petrol,2017,Silver,5,19.12,6.32,7.8
234,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
235,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
236,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
237,Maruti,Suzuki,First,47072,Petrol,2017,Black,5,20.5,4.76,4.37
238,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
240,Hyundai,i20,First,13616,Petrol,2014,Others,5,18.15,4.97,4.57
242,Ford,EcoSport,Second,18014,Petrol,2019,Others,5,17,8.53,8.16
243,Maruti,Suzuki,First,41000,Petrol,2017,Blue,5,21.4,5.91,6.89
244,Honda,City,First,35000,Petrol,2016,Grey,5,18.7,6.99,7.22
245,Hyundai,Elite,First,59235,Petrol,2015,Blue,5,18.6,4.99,5.35
246,Honda,City,First,53000,Petrol,2016,Grey,5,18.7,7.75,7.58
247,Hyundai,Grand,First,23000,Petrol,2017,White,5,19.77,4.4,4.63
248,Ford,Fiesta,First,31575,Petrol,2011,Silver,5,11.7,1.95,2.29
249,Maruti,Suzuki,First,11736,Petrol,2018,Blue,5,22,6.35,6.52
250,Maruti,Suzuki,First,10519,Petrol,2021,Brown,5,20.52,6.8,7.75
252,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
253,Honda,City,Second,60621,Petrol,2016,Silver,5,18.7,7.07,7.31
254,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
255,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
257,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
258,Maruti,Suzuki,Second,53092,Petrol,2017,Silver,5,19.12,6.32,7.8
259,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
267,Mercedes-Benz,E-Class,Second,31267,Petrol,2017,White,5,12.06,41,37.03
272,Honda,All,First,8624,Petrol,2022,White,5,18.4,13.65,12.87
273,Maruti,Suzuki,First,11736,Petrol,2018,Blue,5,22,6.35,6.52
274,Honda,Jazz,First,17847,Petrol,2019,White,5,18.7,6.8,7.75
276,Mercedes-Benz,E-Class,Second,29675,Petrol,2011,White,5,12.06,11.25,13.78
277,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
278,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
279,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
280,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
281,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
282,Honda,City,Second,60621,Petrol,2016,Silver,5,18.7,7.07,7.31
284,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
286,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
287,Maruti,Suzuki,Second,53092,Petrol,2017,Silver,5,19.12,6.32,7.8
290,Maruti,Suzuki,First,47072,Petrol,2017,Black,5,20.5,4.76,4.37
291,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
